Timestamp,What is your gender?,Which Faculty/Program are you in? ,Have you heard of ChatGPT before?,Have you experimented with ChatGPT? ,What is your year of study?,Are you an Undergraduate or Graduate Student?,What is your age?,How often do you use ChatGPT? ,Do you think Post-Secondary schools should allow the use of ChatGPT?,Are you currently employed?,Where do you attend school?,What should ChatGPT be used for? (Select multiple answers),"On a scale of 1-5, how accurate is the information/answers provided by ChatGPT?","On a scale of 1-5, how much do you rely on ChatGPT for work?","On a scale of 1-5, are you concerned that the use of ChatGPT for academic purposes may promote academic dishonesty or cheating?"
3/1/2023 13:35:03,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Several times a day,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To generate new ideas/topics, To learn/try something new, For entertainment purposes",4,3,1
3/2/2023 10:36:07,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,A few times a week,Yes,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with coding/programming, To generate new ideas/topics, To learn/try something new",4,2,3
3/3/2023 15:22:50,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,No,1,,17-19,Never,Maybe/Not sure,"No, just a student","North America (Canada, United States, Cuba...)","To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing",4,1,3
3/7/2023 15:01:52,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Once a month or less,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing",4,2,3
3/7/2023 15:11:06,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Several times a week,Maybe/Not sure,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, For entertainment purposes",4,3,4
3/7/2023 15:54:39,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,A few times a week,Yes,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing",4,2,3
3/7/2023 18:55:15,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,A few times a month,Yes,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes",4,2,1
3/8/2023 21:35:03,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,A few times a month,Yes,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes, Other",4,2,4
3/9/2023 10:07:44,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,20-22,Once a month or less,Maybe/Not sure,"No, just a student","North America (Canada, United States, Cuba...)","To help with coding/programming, To learn/try something new, For entertainment purposes",4,1,4
3/19/2023 10:42:10,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,A few times a week,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming",4,2,5
3/19/2023 16:51:14,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Several times a week,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with coding/programming, To learn/try something new, For entertainment purposes",4,2,2
3/19/2023 20:56:11,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Once a month or less,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes, Should never be used at all",4,2,3
3/19/2023 21:10:52,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Once a week,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, as a tool to gather information ",4,2,1
3/19/2023 21:41:57,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Several times a week,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes",4,3,3
3/20/2023 12:13:08,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Several times a week,Maybe/Not sure,"No, just a student","North America (Canada, United States, Cuba...)","To generate new ideas/topics, To learn/try something new, For entertainment purposes",4,2,3
3/20/2023 13:37:37,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,4,,23-25,Once a month or less,Maybe/Not sure,"No, just a student","North America (Canada, United States, Cuba...)","To generate new ideas/topics, To learn/try something new, For entertainment purposes",4,2,4
3/20/2023 13:38:20,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,4,,20-22,Once a week,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with coding/programming, To generate new ideas/topics",4,3,2
3/23/2023 16:54:15,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Several times a week,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To get feedback on work/writing",4,3,3
3/19/2023 21:25:16,Female,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Once a week,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing",5,2,2
3/20/2023 13:14:04,Male,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,Yes,1,,17-19,Several times a week,Yes,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming",5,2,5
3/19/2023 22:21:03,Female,"Science (Computer Science, Biology, Chemistry, Physics, Mathematics...)",Yes,No,3,,20-22,Never,Maybe/Not sure,"No, just a student","North America (Canada, United States, Cuba...)",To help with homework/assessments when they are difficult,,1,3
3/19/2023 20:59:56,Female,Social Sciences,Yes,No,1,,17-19,Never,No,"No, just a student","North America (Canada, United States, Cuba...)","To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes",4,1,2
3/19/2023 21:23:08,Female,Social Sciences,Yes,Yes,1,,17-19,Several times a week,Maybe/Not sure,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing",4,2,3
3/19/2023 21:26:29,Female,Social Sciences,Yes,Yes,1,,17-19,Never,Yes,"Yes, employed full-time","North America (Canada, United States, Cuba...)","To learn/try something new, To get feedback on work/writing, For entertainment purposes",4,2,2
3/19/2023 21:08:17,Male,Social Sciences,Yes,Yes,2,,17-19,Several times a week,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes",4,4,1
3/28/2023 16:41:19,Female,Business/Commerce,Yes,Yes,2,,20-22,Once a month or less,Yes,"No, just a student","North America (Canada, United States, Cuba...)",To help with homework/assessments when they are difficult,2,2,4
3/30/2023 1:11:58,Male,Arts/Humanities,Yes,Yes,3,,26-30,Several times a week,No,"Yes, employed full-time","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To generate new ideas/topics, To get feedback on work/writing",5,5,5
3/30/2023 1:26:32,Female,Social Sciences,Yes,Yes,2,,20-22,Once a month or less,No,"Yes, employed part-time","South America (Brazil, Argentina, Columbia...)","To help with homework/assessments when they are difficult, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing",4,5,4
3/30/2023 1:27:50,Male,Law,Yes,Yes,1,,17-19,Several times a week,No,"Yes, self-employed","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To get feedback on work/writing",5,4,4
3/30/2023 1:29:21,Male,"Communication & Design (Fashion, Journalism, Media...)",Yes,Yes,4,,20-22,Several times a week,Maybe/Not sure,"Yes, employed full-time","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To get feedback on work/writing",4,5,5
3/31/2023 19:10:14,Male,Law,Yes,Yes,4,,20-22,Several times a week,Maybe/Not sure,"Yes, self-employed","North America (Canada, United States, Cuba...)","To learn/try something new, To get feedback on work/writing",5,4,5
